scenario_id,step_no,parent_step,trigger,delay_amount,delay_unit,send_time,message_type,content,button1_label,button1_url_or_action,button2_label,button2_url_or_action,button3_label,button3_url_or_action,quick_reply_options,image_url,video_url,file_url,tag_add,tag_remove,set_variable,condition,fire_capi_event,capi_dedupe_key,capi_custom_data,external_action,notes
branch_pain_reaction_down,1,,tag_pain_reaction_down_added,45,sec,,text,既読スルー1件ごとに、自分が否定されたような気がして配信ボタンが押せなくなりますよね。,,,,,,,,,,,,,,,,,,,Branch B msg1
branch_pain_reaction_down,2,1,prev_step_done,8,sec,,text,反応が落ちる時、見落とされがちな『配信の前提』のズレが、たいてい1つか2つあります。配信の中身よりも、その前提を見直す話です。,,,,,,,,,,,,,,,,,,,Round3修正: 「3つだけ確認する」→ 断定削減
branch_pain_reaction_down,3,2,prev_step_done,15,sec,,flex_message,何が反応を落としているのか、画面共有しながら一緒に探させてください。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_b,,,,,,,,,,,,,,,,Branch B msg3,
branch_pain_churn,1,,tag_pain_churn_added,45,sec,,text,離脱が止まらない時期は、本当にしんどいですよね。私自身、自分のチームが3ヶ月で600名から360名まで一気に減った時期がありました。,,,,,,,,,,,,,,,,,,,Branch C msg1
branch_pain_churn,2,1,prev_step_done,8,sec,,text,離脱の理由は、雰囲気ではなく構造に眠っていることが多いです。私が伴走したケースでも、半年で景色が変わった方がいます。,,,,,,,,,,,,,,,,,,,Round3修正: 「必ず」「対策なしで」削除、半年→断定弱化
branch_pain_churn,3,2,prev_step_done,15,sec,,flex_message,離脱の理由は、必ず3つくらいに絞れます。一緒に絞ってみませんか。,整理メモが欲しい方はこちら(無料面談),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_c,,,,,,,,,,,,,,,,Branch C msg3 CTAパターンC(互恵駆動),
branch_pain_direction,1,,tag_pain_direction_added,45,sec,,text,「自分のチームだから出せる、自分らしい色」を作りたい気持ち、よくわかります。,,,,,,,,,,,,,,,,,,,Branch D msg1
branch_pain_direction,2,1,prev_step_done,8,sec,,text,「自分らしい色」は、ある日突然見つかるものではなく、メンバー一人ひとりの顔を思い浮かべながら少しずつ言葉にしていくものだと感じています。,,,,,,,,,,,,,,,,,,,Branch D msg2
branch_pain_direction,3,2,prev_step_done,15,sec,,flex_message,あなたのチームだけにある「色」、一緒に見つけにいきませんか。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_d,,,,,,,,,,,,,,,,Branch D msg3,
branch_pain_senpai_dep,1,,tag_pain_senpai_dep_added,45,sec,,text,「先輩のやり方に違和感があるけど、離れられない」──これは口に出しにくい感覚ですよね。恩もあるし、紹介してもらった方々への義理もある。,,,,,,,,,,,,,,,,,,,Branch E msg1
branch_pain_senpai_dep,2,1,prev_step_done,8,sec,,text,私自身、最初の先輩から離れるのに3年かかりました。離れるかどうかの結論は、出さなくて大丈夫です。,,,,,,,,,,,,,,,,,,,Branch E msg2
branch_pain_senpai_dep,3,2,prev_step_done,15,sec,,flex_message,離れる/離れないの結論は出さなくて大丈夫です。話を聞かせてください。,日程だけ先に見てみる,https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_e,,,,,,,,,,,,,,,,Branch E msg3 CTAパターンB,
branch_pain_caretaker,1,,tag_pain_caretaker_added,45,sec,,text,「私が動けなくなったら、このコミュニティはどうなるんだろう」──このひと言を、声に出さずに飲み込んできた時間が、あったと思います。,,,,,,,,,,,,,,,,,,,Round2修正: 「抜けたら崩れる」→「動けなくなったら」マイルド化
branch_pain_caretaker,2,1,prev_step_done,8,sec,,text,私自身、同じ気持ちでしばらく動けなかった時期があります。「リーダーが休めないコミュニティ」は、リーダーが体調を崩した瞬間に止まります。コミュニティに「形として残る仕組み」があるかどうかで、運営の自由度が変わります。,,,,,,,,,,,,,,,,,,,Round2修正: 「2年身動き取れず」「ずっと張りつめてきた」削除・受け手が決める表現に
branch_pain_caretaker,3,2,prev_step_done,15,sec,,flex_message,「私が動けなくても、コミュニティが続く形」を、無理せず作っていく順番をご一緒に整理します。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_f,,,,,,,,,,,,,,,,Branch F msg3,Round2修正: 表現マイルド化
branch_pain_sns_dead,1,,tag_pain_sns_dead_added,45,sec,,text,「毎日Instagramを更新しているのに、フォロワーは増えても売上には響かない」──この感覚、本当にしんどいですよね。,,,,,,,,,,,,,,,,,,,Branch G msg1
branch_pain_sns_dead,2,1,prev_step_done,8,sec,,text,投稿が売上につながらないのは、たいてい投稿の中身より、投稿の後でフォロワーが次にどこへ行けるかが見えていないだけだったりします。,,,,,,,,,,,,,,,,,,,Branch G msg2
branch_pain_sns_dead,3,2,prev_step_done,15,sec,,flex_message,これまでの投稿、無駄になっていないか、一緒に見直しませんか。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_g,,,,,,,,,,,,,,,,Branch G msg3,
branch_pain_family,1,,tag_pain_family_added,45,sec,,text,家族にまだコミュニティの活動を共有できていない方は、運営のいちばん静かな課題を抱えているケースが多いです。,,,,,,,,,,,,,,,,,,,Round2修正: 「いちばん静かに、いちばん重くのしかかる」→中立化
branch_pain_family,2,1,prev_step_done,8,sec,,text,「いつかは話したい」「でも今はまだ」のあいだで揺れているうちは、ご自身の中で気持ちを整理するところから始めて大丈夫です。話すかどうかは、その後で構いません。,,,,,,,,,,,,,,,,,,,Round2修正: 翻訳調是正
branch_pain_family,3,2,prev_step_done,15,sec,,flex_message,ご家族の話は脇に置いて、まずご自身の気持ちを整理する1時間にしませんか。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_h,,,,,,,,,,,,,,,,Branch H msg3 (pain_familyはCAPI custom_data除外対象),Round2修正: pain_familyはCAPI custom_data除外対象（個情法+Meta Sensitive対応）
branch_status_pre_team,1,,tag_status_pre_team_added,45,sec,,text,これから始めたい方のお気持ち、よくわかります。,,,,,,,,,,,,,,,,,,,Branch I msg1
branch_status_pre_team,2,1,prev_step_done,8,sec,,quick_reply,念のためもう1問だけ。今、お声がけできるメンバーは何名いらっしゃいますか?,,,,,,,"3名以上|status_promote_to_main,1-2名|status_few,まだ0名|status_zero",,,,,,,,,,,,Branch I msg2 副質問
branch_status_pre_team,3a,2,tag_status_promote_to_main_added,8,sec,,flex_message,3名以上いらっしゃるなら、お話がお役に立てる可能性が高いです。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_i_promo,,,,,,,,,seg_main,seg_follow,,,,,,,MAIN昇格
branch_status_pre_team,3b,2,tag_status_few_added OR tag_status_zero_added,8,sec,,flex_message,これから始める方には、まず無料の電子書籍『コミュニティ作りの最初の一歩』をお送りします。3名ほど集まってきたタイミングで、もう一度声をかけさせてください。そのときの1時間が、いちばんお役に立てる時間になります。,,,,,,,,,,./assets/ebook-community-first-step.pdf,seg_follow,seg_main,,,,,,follow_segment_flow起動,Branch I msg3b (Round3門前払い逆転済)
branch_pain_other,1,,tag_pain_other_added,45,sec,,text,お悩みは人それぞれです。お話を聞いてみないと、私からも具体的なお返事はできません。,,,,,,,,,,,,,,,,,,,Branch J msg1
branch_pain_other,2,1,prev_step_done,8,sec,,text,整理メモは、5営業日以内にお渡しします(契約有無に関係なく / 一部例外条項あり)。,,,,,,,,,,,,,,,,,,,Branch J msg2
branch_pain_other,3,2,prev_step_done,15,sec,,flex_message,気になることだけ、話しに来てください。,来週以降の空き枠を見る,https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day0_j,,,,,,,,,,,,,,,,Branch J msg3 CTAパターンD,
reengage,day1,,seg_main AND NOT status_scheduled,1,day,21:00,flex_message,こんばんは、JUNです。昨日のメッセージから一日経って、「やっぱり予約しようかな」「でもまだ迷うな」、そのどちらの気持ちも自然だと思います。私が2020年春にチーム600名→360名に落とした時期に何が変わったかを、30秒だけお話しします。,1時間、JUNと話してみる(0円),https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day1_video,,,,,,,./assets/jun-30sec-3turning-points.mp4,,reengage_day1_sent,,,,ViewContent,,"{""cluster_tag"":""{{first_cluster_tag}}""}",,Round2修正: 「3つの分岐点」→「何が変わったか」へ断定削減
reengage,day3,,seg_main AND NOT status_scheduled,3,day,21:00,flex_message_carousel,【PR】合同会社リバイラル提供のサービス紹介です。導入者の声を1名だけお送りします。他の声も読みたい方は、このトークで「事例」とお送りください。複数事例をまとめてお返しします。,1時間、JUNと話してみる（0円）,https://lin.ee/PLACEHOLDER?utm_campaign=v2r4_day3_single,,,,,"card_1={image:./assets/testimonial-1-revised.png,name:45-49歳・女性・コミュニティ約20名運営/5年目,quote:もう紹介する友達がリストに残ってないと感じていました。あの1時間で自分が何に迷っていたのかようやく言葉になりました,note:書面同意済|有償プラン契約者|[広告]事業者:合同会社リバイラル/坂本純一}",,,,reengage_day3_sent,,,,,,,,Round2修正: 3カード→1カード+能動取得型に圧縮（証拠の押し付け回避）
reengage,day7,,seg_main AND NOT status_scheduled,7,day,21:00,flex_message,ここまで何度かご案内をお送りしました。今後はメッセージをお送りしません。もし、まだ「いつか聞いてみたい」と思っていただけているなら、来週以降の空き枠も日程ボタンから見られます。気が向いた時にどうぞ。,気が向いた時の日程を1分だけ見る,https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_day7_final,,,,,,,,,reengage_day7_sent,,,,,,,,Day7 21:00 (Round3「最後」表現撤廃済)
reengage,day8plus,,seg_main AND NOT status_scheduled AND day>=8,0,sec,,system,move_to_monthly_newsletter,,,,,,,,,,,reengage_silenced,,,,,,,,Day8+沈黙
hospitality,booking_confirmed,,webhook(tcal_booking_confirmed)→GAS_idempotency→LStep_API,30,sec,,flex_message,ご予約ありがとうございます。{{date_jp}} {{time_jp}} にお会いできるのを楽しみにしています。カレンダーに入れておきますね↓ ※当日2時間前にZoom URLをお送りします。10分前にも通知をご希望の方は下のボタンをタップしてください。,カレンダーに追加,open_calendar_picker_flex,10分前にも通知してほしい,set_tag(opt_in_10min),,,,,,,status_scheduled webhook_tcal_received,,"{""zoom_personal_url"":""{{webhook.zoom_url}}"",""booking_date"":""{{webhook.date}}"",""booking_time"":""{{webhook.time}}"",""reminder_21h_prev_at"":""calculated"",""reminder_2h_prev_at"":""calculated"",""reminder_10min_prev_at"":""calculated"",""noshow_check_at"":""calculated""}",,Schedule,{{lp_event_id}},"{""cluster_tag"":""{{first_cluster_tag}}"",""booking_date"":""{{date_iso}}"",""value"":0,""currency"":""JPY"",""action_source"":""chat""}",,Round3修正: 10min前opt-in取得ボタン追加（行動心理UXレビュー Fogg遵守）
hospitality,reminder_21h_prev,,status_scheduled AND fire_tag=tag_fire_reminder_21h_prev,0,sec,,flex_message,明日 {{time_jp}} にお話しできるのを楽しみにしています。明日は、無理のない範囲でお話しいただければ十分です。Zoom URL は明日2時間前にお送りします。,予約を変更したい方はこちら,{{tcal_manage_url}},,,,,,,,,status_reminded_21h_prev,tag_fire_reminder_21h_prev,,,,,,,Round2修正: 「3年後振り返って良かったと言える1時間」過剰未来想起圧→マイルド化
hospitality,reminder_2h_prev,,status_scheduled AND fire_tag=tag_fire_reminder_2h_prev,0,sec,,flex_message,あと2時間で {{time_jp}} ですね。音声のみで大丈夫です。Wi-Fiがつながる場所からだと助かります。カメラのオン/オフは入室後にいつでも切り替えできます。,Zoomで入室する(タップで参加),{{zoom_personal_url}},,,,,,,,,status_reminded_2h_prev,tag_fire_reminder_2h_prev,,,,,,,当日2H前
hospitality,reminder_10min_prev,,status_scheduled AND tag=opt_in_10min AND fire_tag=tag_fire_reminder_10min_prev,0,sec,,flex_message,あと10分でお会いできますね。下のボタンから入室してお待ちください。,Zoomで入室する,{{zoom_personal_url}},,,,,,,,,status_reminded_10min_prev,tag_fire_reminder_10min_prev,,,,,,,Round3修正: condition句にopt-inタグゲート追加、運用注記→機械ゲート化
hospitality,noshow_recovery,,status_scheduled AND fire_tag=tag_fire_noshow_check AND NOT status_attended,0,sec,,flex_message,本日のお時間、お忙しかったでしょうか。もしご都合よろしい時にあらためてお話しできたら嬉しいです。,別の日に振り替える,https://tcal.jp/p/revirall-jun-1on1?...&utm_campaign=v2r3_noshow_recovery,,,,,,,,,status_no_show,tag_fire_noshow_check,,,,,,,No-show時 30分後リカバリ(1回のみ)
post_meeting,end_handwritten,,zoom_meeting_ended AND status_attended,60,sec,,flex_message,○○さん、今日はありがとうございました。今日お話ししてくださった『{{captured_emotion_label}}』についてのお気持ちを、私も自分の2020年春と重ねていました。整理メモは、お話の内容を確認しながら5営業日以内にお送りします。急ぎの確認があれば、このトークでお気軽にどうぞ。──坂本純一(JUN),,,,,,,,./assets/jun-handwritten-thanks-template.png,,,,,,,,,,,peak-end の end (Round3録音矛盾解消済・抽象ラベル運用)
post_meeting,memo_delivery,,status_attended AND manual_trigger_memo_ready,0,sec,,flex_message,○○さん、お待たせしました。整理メモをお送りします。※このメモは、本日のお話を元に個別作成しました。※本資料は{{user_id}}様向けに作成しています（取り扱いは利用規約をご参照ください）。何か追加で質問があれば、このトークで気軽にどうぞ。※整理メモは原則として面談から5営業日以内にお送りしますが、お話の中で個人を特定できる情報や、第三者の権利に関わる内容が含まれる場合、当該箇所を抽象化してお渡しすることがあります。,,,,,,,,,,{{memo_pdf_url}},memo_delivered,,,,CompleteRegistration,{{lp_event_id}},"{""cluster_tag"":""{{first_cluster_tag}}"",""attended"":true,""action_source"":""chat""}",GCS署名URL7d有効+再発行UI,Round2修正: 「損害賠償の対象」→利用規約参照に減圧
post_meeting,followup_21day,,status_attended AND NOT status_contracted,21,day,,flex_message,あの日のお話から3週間経ちましたが、お変わりないでしょうか。もし整理メモの中で「ここだけもう一度詰めたい」という箇所があれば、30分の追加コンサルを無料で承ります。(これは契約者にも非契約者にもお伝えしているJUNのルールです。※月10件まで先着順、JUN本人による直接対応。),30分の追加コンサルを予約する,https://tcal.jp/p/revirall-jun-30min-followup?line_user_id={{user_id}},,,,,,,,,followup_21day_sent,,,,,,,,21日後フォロー(Round3前倒し済)
follow_segment_flow,day0,,tag_seg_follow_added,30,sec,,text,今後、月1で「コミュニティ作りのヒント」を配信します。不要でしたら、いつでも下のメニューから配信停止できます。(ブロックされても私の方でわかりますので、無理されないでください),,,,,,,,,,,,,,,,,,,FOLLOW移行直後
follow_segment_flow,day_90_recheck,,tag_seg_follow_added AND day=90,0,sec,10:00,quick_reply,お久しぶりです。もしあれから「3名のメンバーが集まってきた」なら、ぜひお話ししたいです。,,,,,,,"3名以上集まった|status_promote_to_main,まだです|status_still_pre,配信不要|newsletter_unsub",,,,,,,,,,,,Day90 再Q1 | R4: status_promote_to_mainタグ付与でMAIN復帰のutm=v2r4_follow_day90
reengage,day2,,seg_main AND NOT status_scheduled,2,day,20:00,text,今日もお疲れさまでした。昨日の動画、もしお時間あった時にだけ覗いてみてください。整理メモのサンプル(A4 1枚)はこちらから先にお渡しできます↓,整理メモのサンプルを見る,{{memo_sample_pdf_url}},,,,,,,,,reengage_day2_sent,,,,ViewContent,,"{""cluster_tag"":""{{first_cluster_tag}}""}",,Round3追加: Day1-Day3 48h gap解消 + 整理メモサンプルで互恵性駆動
follow_segment_flow,day30,,tag_seg_follow_added AND day=30,0,sec,10:00,text,お久しぶりです、JUNです。あれから1ヶ月、コミュニティ作りの最初の壁にぶつかっていませんか。今月は『最初の3名を集める言葉の整え方』のヒントを1つだけお送りします。,,,,,,,,,,,,,,,,,,,Round3追加: Day0-Day90 沈黙90日gap解消 - 月次ヒント1
follow_segment_flow,day60,,tag_seg_follow_added AND day=60,0,sec,10:00,text,JUNです。2ヶ月経って、いかがお過ごしでしょうか。もし『集まってきたかも』というタイミングなら、下のボタンから30分の様子伺いだけでも気軽にどうぞ。,30分だけ様子を伺う,https://tcal.jp/p/revirall-jun-30min-followup?line_user_id={{user_id}}&utm_source=lstep&utm_medium=line&utm_campaign=v2r4_follow_day60,,,,,,,,,,,,,,,,, | R4: utm_campaign追加
